lat_grid,lon_grid,hour,crime_count
33.71,-118.32000000000001,9,2
33.71,-118.32000000000001,10,2
33.71,-118.32000000000001,11,3
33.71,-118.32000000000001,12,4
33.71,-118.32000000000001,13,3
33.71,-118.32000000000001,14,3
33.71,-118.32000000000001,15,4
33.71,-118.32000000000001,16,5
33.71,-118.32000000000001,17,11
33.71,-118.32000000000001,18,7
33.71,-118.32000000000001,19,3
33.71,-118.32000000000001,20,2
33.71,-118.32000000000001,22,1
33.71,-118.31,0,7
33.71,-118.31,1,2
33.71,-118.31,2,6
33.71,-118.31,3,5
33.71,-118.31,4,7
33.71,-118.31,5,3
33.71,-118.31,6,4
33.71,-118.31,7,4
33.71,-118.31,8,7
33.71,-118.31,9,7
33.71,-118.31,10,8
33.71,-118.31,11,7
33.71,-118.31,12,12
33.71,-118.31,13,8
33.71,-118.31,14,8
33.71,-118.31,15,16
33.71,-118.31,16,9
33.71,-118.31,17,12
33.71,-118.31,18,8
33.71,-118.31,19,12
33.71,-118.31,20,7
33.71,-118.31,21,6
33.71,-118.31,22,6
33.71,-118.31,23,5
33.71,-118.3,0,34
33.71,-118.3,1,23
33.71,-118.3,2,12
33.71,-118.3,3,16
33.71,-118.3,4,11
33.71,-118.3,5,12
33.71,-118.3,6,9
33.71,-118.3,7,13
33.71,-118.3,8,24
33.71,-118.3,9,29
33.71,-118.3,10,32
33.71,-118.3,11,15
33.71,-118.3,12,35
33.71,-118.3,13,16
33.71,-118.3,14,27
33.71,-118.3,15,31
33.71,-118.3,16,33
33.71,-118.3,17,47
33.71,-118.3,18,41
33.71,-118.3,19,48
33.71,-118.3,20,43
33.71,-118.3,21,39
33.71,-118.3,22,44
33.71,-118.3,23,30
33.71,-118.29,0,20
33.71,-118.29,1,6
33.71,-118.29,2,16
33.71,-118.29,3,10
33.71,-118.29,4,8
33.71,-118.29,5,4
33.71,-118.29,6,12
33.71,-118.29,7,12
33.71,-118.29,8,22
33.71,-118.29,9,22
33.71,-118.29,10,25
33.71,-118.29,11,20
33.71,-118.29,12,32
33.71,-118.29,13,20
33.71,-118.29,14,23
33.71,-118.29,15,18
33.71,-118.29,16,27
33.71,-118.29,17,32
33.71,-118.29,18,22
33.71,-118.29,19,28
33.71,-118.29,20,20
33.71,-118.29,21,24
33.71,-118.29,22,27
33.71,-118.29,23,16
33.71,-118.28,0,1
33.71,-118.28,8,1
33.71,-118.28,18,1
33.71,-118.28,22,1
33.71,-118.26,10,1
33.71,-118.26,17,1
33.71,-118.26,20,1
33.72,-118.33,0,7
33.72,-118.33,1,2
33.72,-118.33,2,3
33.72,-118.33,3,2
33.72,-118.33,4,2
33.72,-118.33,5,4
33.72,-118.33,6,7
33.72,-118.33,7,1
33.72,-118.33,8,2
33.72,-118.33,9,5
33.72,-118.33,10,8
33.72,-118.33,11,5
33.72,-118.33,12,7
33.72,-118.33,13,9
33.72,-118.33,14,6
33.72,-118.33,15,5
33.72,-118.33,16,4
33.72,-118.33,17,10
33.72,-118.33,18,8
33.72,-118.33,19,5
33.72,-118.33,20,11
33.72,-118.33,21,6
33.72,-118.33,22,7
33.72,-118.33,23,7
33.72,-118.32000000000001,0,8
33.72,-118.32000000000001,1,9
33.72,-118.32000000000001,2,7
33.72,-118.32000000000001,3,7
33.72,-118.32000000000001,4,6
33.72,-118.32000000000001,5,6
33.72,-118.32000000000001,6,6
33.72,-118.32000000000001,7,6
33.72,-118.32000000000001,8,6
33.72,-118.32000000000001,9,9
33.72,-118.32000000000001,10,16
33.72,-118.32000000000001,11,11
33.72,-118.32000000000001,12,12
33.72,-118.32000000000001,13,9
33.72,-118.32000000000001,14,21
33.72,-118.32000000000001,15,18
33.72,-118.32000000000001,16,15
33.72,-118.32000000000001,17,15
33.72,-118.32000000000001,18,21
33.72,-118.32000000000001,19,15
33.72,-118.32000000000001,20,16
33.72,-118.32000000000001,21,15
33.72,-118.32000000000001,22,9
33.72,-118.32000000000001,23,11
33.72,-118.31,0,15
33.72,-118.31,1,9
33.72,-118.31,2,12
33.72,-118.31,3,9
33.72,-118.31,4,10
33.72,-118.31,5,8
33.72,-118.31,6,5
33.72,-118.31,7,12
33.72,-118.31,8,11
33.72,-118.31,9,14
33.72,-118.31,10,15
33.72,-118.31,11,25
33.72,-118.31,12,28
33.72,-118.31,13,10
33.72,-118.31,14,23
33.72,-118.31,15,19
33.72,-118.31,16,21
33.72,-118.31,17,28
33.72,-118.31,18,22
33.72,-118.31,19,34
33.72,-118.31,20,26
33.72,-118.31,21,30
33.72,-118.31,22,17
33.72,-118.31,23,18
33.72,-118.3,0,55
33.72,-118.3,1,53
33.72,-118.3,2,35
33.72,-118.3,3,34
33.72,-118.3,4,22
33.72,-118.3,5,25
33.72,-118.3,6,36
33.72,-118.3,7,49
33.72,-118.3,8,52
33.72,-118.3,9,53
33.72,-118.3,10,66
33.72,-118.3,11,56
33.72,-118.3,12,90
33.72,-118.3,13,50
33.72,-118.3,14,53
33.72,-118.3,15,74
33.72,-118.3,16,87
33.72,-118.3,17,91
33.72,-118.3,18,96
33.72,-118.3,19,93
33.72,-118.3,20,108
33.72,-118.3,21,77
33.72,-118.3,22,91
33.72,-118.3,23,70
33.72,-118.29,0,63
33.72,-118.29,1,35
33.72,-118.29,2,33
33.72,-118.29,3,20
33.72,-118.29,4,17
33.72,-118.29,5,18
33.72,-118.29,6,28
33.72,-118.29,7,36
33.72,-118.29,8,31
33.72,-118.29,9,49
33.72,-118.29,10,41
33.72,-118.29,11,55
33.72,-118.29,12,64
33.72,-118.29,13,45
33.72,-118.29,14,48
33.72,-118.29,15,48
33.72,-118.29,16,52
33.72,-118.29,17,60
33.72,-118.29,18,64
33.72,-118.29,19,60
33.72,-118.29,20,77
33.72,-118.29,21,64
33.72,-118.29,22,62
33.72,-118.29,23,48
33.72,-118.28,0,16
33.72,-118.28,1,3
33.72,-118.28,2,1
33.72,-118.28,4,2
33.72,-118.28,5,4
33.72,-118.28,6,2
33.72,-118.28,7,5
33.72,-118.28,8,9
33.72,-118.28,9,10
33.72,-118.28,10,10
33.72,-118.28,11,5
33.72,-118.28,12,13
33.72,-118.28,13,5
33.72,-118.28,14,6
33.72,-118.28,15,8
33.72,-118.28,16,11
33.72,-118.28,17,8
33.72,-118.28,18,13
33.72,-118.28,19,10
33.72,-118.28,20,12
33.72,-118.28,21,2
33.72,-118.28,22,1
33.72,-118.28,23,5
33.72,-118.27,0,3
33.72,-118.27,1,1
33.72,-118.27,2,1
33.72,-118.27,6,1
33.72,-118.27,7,1
33.72,-118.27,8,1
33.72,-118.27,9,1
33.72,-118.27,12,1
33.72,-118.27,15,1
33.72,-118.27,16,2
33.72,-118.27,18,3
33.72,-118.27,20,1
33.72,-118.27,21,1
33.72,-118.27,23,1
33.72,-118.26,7,1
33.730000000000004,-118.32000000000001,0,4
33.730000000000004,-118.32000000000001,1,1
33.730000000000004,-118.32000000000001,2,4
33.730000000000004,-118.32000000000001,3,3
33.730000000000004,-118.32000000000001,4,1
33.730000000000004,-118.32000000000001,5,2
33.730000000000004,-118.32000000000001,6,5
33.730000000000004,-118.32000000000001,7,2
33.730000000000004,-118.32000000000001,8,6
33.730000000000004,-118.32000000000001,9,7
33.730000000000004,-118.32000000000001,10,9
33.730000000000004,-118.32000000000001,11,7
33.730000000000004,-118.32000000000001,12,11
33.730000000000004,-118.32000000000001,13,15
33.730000000000004,-118.32000000000001,14,11
33.730000000000004,-118.32000000000001,15,15
33.730000000000004,-118.32000000000001,16,5
33.730000000000004,-118.32000000000001,17,7
33.730000000000004,-118.32000000000001,18,12
33.730000000000004,-118.32000000000001,19,7
33.730000000000004,-118.32000000000001,20,8
33.730000000000004,-118.32000000000001,21,9
33.730000000000004,-118.32000000000001,22,14
33.730000000000004,-118.32000000000001,23,5
33.730000000000004,-118.31,0,28
33.730000000000004,-118.31,1,19
33.730000000000004,-118.31,2,14
33.730000000000004,-118.31,3,19
33.730000000000004,-118.31,4,10
33.730000000000004,-118.31,5,14
33.730000000000004,-118.31,6,21
33.730000000000004,-118.31,7,11
33.730000000000004,-118.31,8,20
33.730000000000004,-118.31,9,21
33.730000000000004,-118.31,10,27
33.730000000000004,-118.31,11,17
33.730000000000004,-118.31,12,27
33.730000000000004,-118.31,13,21
33.730000000000004,-118.31,14,25
33.730000000000004,-118.31,15,29
33.730000000000004,-118.31,16,33
33.730000000000004,-118.31,17,39
33.730000000000004,-118.31,18,45
33.730000000000004,-118.31,19,37
33.730000000000004,-118.31,20,40
33.730000000000004,-118.31,21,31
33.730000000000004,-118.31,22,46
33.730000000000004,-118.31,23,22
33.730000000000004,-118.3,0,95
33.730000000000004,-118.3,1,66
33.730000000000004,-118.3,2,63
33.730000000000004,-118.3,3,53
33.730000000000004,-118.3,4,46
33.730000000000004,-118.3,5,42
33.730000000000004,-118.3,6,55
33.730000000000004,-118.3,7,66
33.730000000000004,-118.3,8,79
33.730000000000004,-118.3,9,87
33.730000000000004,-118.3,10,115
33.730000000000004,-118.3,11,104
33.730000000000004,-118.3,12,121
33.730000000000004,-118.3,13,93
33.730000000000004,-118.3,14,122
33.730000000000004,-118.3,15,132
33.730000000000004,-118.3,16,138
33.730000000000004,-118.3,17,136
33.730000000000004,-118.3,18,142
33.730000000000004,-118.3,19,121
33.730000000000004,-118.3,20,144
33.730000000000004,-118.3,21,109
33.730000000000004,-118.3,22,118
33.730000000000004,-118.3,23,111
33.730000000000004,-118.29,0,151
33.730000000000004,-118.29,1,91
33.730000000000004,-118.29,2,83
33.730000000000004,-118.29,3,67
33.730000000000004,-118.29,4,57
33.730000000000004,-118.29,5,50
33.730000000000004,-118.29,6,70
33.730000000000004,-118.29,7,68
33.730000000000004,-118.29,8,98
33.730000000000004,-118.29,9,92
33.730000000000004,-118.29,10,102
33.730000000000004,-118.29,11,105
33.730000000000004,-118.29,12,141
33.730000000000004,-118.29,13,116
33.730000000000004,-118.29,14,118
33.730000000000004,-118.29,15,150
33.730000000000004,-118.29,16,134
33.730000000000004,-118.29,17,152
33.730000000000004,-118.29,18,188
33.730000000000004,-118.29,19,153
33.730000000000004,-118.29,20,133
33.730000000000004,-118.29,21,166
33.730000000000004,-118.29,22,144
33.730000000000004,-118.29,23,135
33.730000000000004,-118.28,0,4
33.730000000000004,-118.28,1,3
33.730000000000004,-118.28,2,3
33.730000000000004,-118.28,3,3
33.730000000000004,-118.28,4,3
33.730000000000004,-118.28,6,2
33.730000000000004,-118.28,7,2
33.730000000000004,-118.28,8,2
33.730000000000004,-118.28,9,5
33.730000000000004,-118.28,10,7
33.730000000000004,-118.28,11,5
33.730000000000004,-118.28,12,4
33.730000000000004,-118.28,13,4
33.730000000000004,-118.28,14,9
33.730000000000004,-118.28,15,11
33.730000000000004,-118.28,16,9
33.730000000000004,-118.28,17,9
33.730000000000004,-118.28,18,4
33.730000000000004,-118.28,19,4
33.730000000000004,-118.28,20,5
33.730000000000004,-118.28,21,2
33.730000000000004,-118.28,22,9
33.730000000000004,-118.28,23,4
33.730000000000004,-118.27,0,4
33.730000000000004,-118.27,1,1
33.730000000000004,-118.27,6,1
33.730000000000004,-118.27,9,1
33.730000000000004,-118.27,10,1
33.730000000000004,-118.27,11,1
33.730000000000004,-118.27,12,1
33.730000000000004,-118.27,14,2
33.730000000000004,-118.27,15,3
33.730000000000004,-118.27,16,3
33.730000000000004,-118.27,20,1
33.730000000000004,-118.27,23,4
33.730000000000004,-118.24000000000001,0,3
33.730000000000004,-118.24000000000001,1,1
33.730000000000004,-118.24000000000001,3,1
33.730000000000004,-118.24000000000001,9,1
33.730000000000004,-118.24000000000001,12,1
33.730000000000004,-118.24000000000001,13,3
33.730000000000004,-118.24000000000001,14,1
33.730000000000004,-118.24000000000001,15,1
33.730000000000004,-118.24000000000001,16,1
33.730000000000004,-118.24000000000001,19,2
33.730000000000004,-118.24000000000001,22,1
33.730000000000004,-118.24000000000001,23,1
33.74,-118.32000000000001,0,12
33.74,-118.32000000000001,1,3
33.74,-118.32000000000001,2,3
33.74,-118.32000000000001,3,3
33.74,-118.32000000000001,4,2
33.74,-118.32000000000001,5,2
33.74,-118.32000000000001,6,3
33.74,-118.32000000000001,7,6
33.74,-118.32000000000001,8,10
33.74,-118.32000000000001,9,14
33.74,-118.32000000000001,10,13
33.74,-118.32000000000001,11,9
33.74,-118.32000000000001,12,14
33.74,-118.32000000000001,13,10
33.74,-118.32000000000001,14,13
33.74,-118.32000000000001,15,20
33.74,-118.32000000000001,16,15
33.74,-118.32000000000001,17,9
33.74,-118.32000000000001,18,17
33.74,-118.32000000000001,19,12
33.74,-118.32000000000001,20,7
33.74,-118.32000000000001,21,11
33.74,-118.32000000000001,22,8
33.74,-118.32000000000001,23,9
33.74,-118.31,0,16
33.74,-118.31,1,14
33.74,-118.31,2,15
33.74,-118.31,3,17
33.74,-118.31,4,15
33.74,-118.31,5,11
33.74,-118.31,6,15
33.74,-118.31,7,10
33.74,-118.31,8,16
33.74,-118.31,9,24
33.74,-118.31,10,18
33.74,-118.31,11,16
33.74,-118.31,12,23
33.74,-118.31,13,19
33.74,-118.31,14,24
33.74,-118.31,15,31
33.74,-118.31,16,31
33.74,-118.31,17,27
33.74,-118.31,18,20
33.74,-118.31,19,25
33.74,-118.31,20,31
33.74,-118.31,21,23
33.74,-118.31,22,29
33.74,-118.31,23,26
33.74,-118.3,0,71
33.74,-118.3,1,43
33.74,-118.3,2,47
33.74,-118.3,3,31
33.74,-118.3,4,42
33.74,-118.3,5,32
33.74,-118.3,6,31
33.74,-118.3,7,50
33.74,-118.3,8,63
33.74,-118.3,9,57
33.74,-118.3,10,64
33.74,-118.3,11,66
33.74,-118.3,12,88
33.74,-118.3,13,58
33.74,-118.3,14,68
33.74,-118.3,15,75
33.74,-118.3,16,78
33.74,-118.3,17,74
33.74,-118.3,18,106
33.74,-118.3,19,90
33.74,-118.3,20,82
33.74,-118.3,21,85
33.74,-118.3,22,109
33.74,-118.3,23,62
33.74,-118.29,0,81
33.74,-118.29,1,58
33.74,-118.29,2,59
33.74,-118.29,3,59
33.74,-118.29,4,39
33.74,-118.29,5,32
33.74,-118.29,6,59
33.74,-118.29,7,44
33.74,-118.29,8,77
33.74,-118.29,9,72
33.74,-118.29,10,60
33.74,-118.29,11,66
33.74,-118.29,12,130
33.74,-118.29,13,67
33.74,-118.29,14,88
33.74,-118.29,15,121
33.74,-118.29,16,111
33.74,-118.29,17,127
33.74,-118.29,18,110
33.74,-118.29,19,106
33.74,-118.29,20,119
33.74,-118.29,21,132
33.74,-118.29,22,106
33.74,-118.29,23,107
33.74,-118.28,0,16
33.74,-118.28,1,10
33.74,-118.28,2,7
33.74,-118.28,3,1
33.74,-118.28,4,1
33.74,-118.28,5,10
33.74,-118.28,6,16
33.74,-118.28,7,13
33.74,-118.28,8,14
33.74,-118.28,9,9
33.74,-118.28,10,21
33.74,-118.28,11,19
33.74,-118.28,12,25
33.74,-118.28,13,18
33.74,-118.28,14,18
33.74,-118.28,15,16
33.74,-118.28,16,15
33.74,-118.28,17,14
33.74,-118.28,18,17
33.74,-118.28,19,12
33.74,-118.28,20,17
33.74,-118.28,21,19
33.74,-118.28,22,17
33.74,-118.28,23,9
33.74,-118.27,0,2
33.74,-118.27,2,3
33.74,-118.27,3,1
33.74,-118.27,6,1
33.74,-118.27,7,2
33.74,-118.27,8,3
33.74,-118.27,9,4
33.74,-118.27,10,1
33.74,-118.27,11,2
33.74,-118.27,12,36
33.74,-118.27,13,5
33.74,-118.27,14,10
33.74,-118.27,15,2
33.74,-118.27,16,3
33.74,-118.27,17,3
33.74,-118.27,18,3
33.74,-118.27,19,2
33.74,-118.27,20,5
33.74,-118.27,21,2
33.74,-118.27,22,2
33.74,-118.27,23,2
33.74,-118.26,1,1
33.74,-118.26,9,1
33.74,-118.26,13,2
33.74,-118.26,15,1
33.74,-118.26,20,1
33.74,-118.26,22,2
33.75,-118.31,0,19
33.75,-118.31,1,11
33.75,-118.31,2,16
33.75,-118.31,3,14
33.75,-118.31,4,8
33.75,-118.31,5,10
33.75,-118.31,6,11
33.75,-118.31,7,18
33.75,-118.31,8,19
33.75,-118.31,9,20
33.75,-118.31,10,35
33.75,-118.31,11,29
33.75,-118.31,12,63
33.75,-118.31,13,26
33.75,-118.31,14,49
33.75,-118.31,15,43
33.75,-118.31,16,34
33.75,-118.31,17,48
33.75,-118.31,18,41
33.75,-118.31,19,52
33.75,-118.31,20,34
33.75,-118.31,21,32
33.75,-118.31,22,31
33.75,-118.31,23,33
33.75,-118.3,0,15
33.75,-118.3,1,11
33.75,-118.3,2,12
33.75,-118.3,3,14
33.75,-118.3,4,10
33.75,-118.3,5,6
33.75,-118.3,6,12
33.75,-118.3,7,7
33.75,-118.3,8,13
33.75,-118.3,9,15
33.75,-118.3,10,19
33.75,-118.3,11,21
33.75,-118.3,12,34
33.75,-118.3,13,19
33.75,-118.3,14,26
33.75,-118.3,15,17
33.75,-118.3,16,32
33.75,-118.3,17,38
33.75,-118.3,18,20
33.75,-118.3,19,14
33.75,-118.3,20,22
33.75,-118.3,21,19
33.75,-118.3,22,18
33.75,-118.3,23,19
33.75,-118.29,0,72
33.75,-118.29,1,12
33.75,-118.29,2,3
33.75,-118.29,3,2
33.75,-118.29,4,4
33.75,-118.29,6,5
33.75,-118.29,7,2
33.75,-118.29,8,7
33.75,-118.29,9,7
33.75,-118.29,10,10
33.75,-118.29,11,1
33.75,-118.29,12,12
33.75,-118.29,13,7
33.75,-118.29,14,4
33.75,-118.29,15,7
33.75,-118.29,16,5
33.75,-118.29,17,5
33.75,-118.29,18,11
33.75,-118.29,19,5
33.75,-118.29,20,14
33.75,-118.29,21,12
33.75,-118.29,22,13
33.75,-118.29,23,14
33.75,-118.28,16,1
33.75,-118.27,5,1
33.75,-118.26,0,2
33.75,-118.26,3,1
33.75,-118.26,7,1
33.75,-118.26,10,2
33.75,-118.26,12,2
33.75,-118.26,15,2
33.75,-118.26,16,1
33.75,-118.26,18,1
33.75,-118.26,19,2
33.75,-118.25,0,1
33.75,-118.25,6,1
33.75,-118.25,8,2
33.75,-118.25,20,1
33.75,-118.25,21,2
33.76,-118.32000000000001,0,1
33.76,-118.32000000000001,1,2
33.76,-118.32000000000001,3,2
33.76,-118.32000000000001,4,1
33.76,-118.32000000000001,5,1
33.76,-118.32000000000001,6,1
33.76,-118.32000000000001,7,2
33.76,-118.32000000000001,8,3
33.76,-118.32000000000001,9,6
33.76,-118.32000000000001,10,4
33.76,-118.32000000000001,11,1
33.76,-118.32000000000001,12,4
33.76,-118.32000000000001,13,5
33.76,-118.32000000000001,14,3
33.76,-118.32000000000001,15,2
33.76,-118.32000000000001,16,2
33.76,-118.32000000000001,17,4
33.76,-118.32000000000001,18,2
33.76,-118.32000000000001,19,3
33.76,-118.32000000000001,20,4
33.76,-118.32000000000001,21,1
33.76,-118.32000000000001,22,1
33.76,-118.32000000000001,23,1
33.76,-118.31,0,16
33.76,-118.31,1,5
33.76,-118.31,2,1
33.76,-118.31,3,3
33.76,-118.31,4,2
33.76,-118.31,5,8
33.76,-118.31,6,4
33.76,-118.31,7,5
33.76,-118.31,8,8
33.76,-118.31,9,3
33.76,-118.31,10,7
33.76,-118.31,11,11
33.76,-118.31,12,17
33.76,-118.31,13,9
33.76,-118.31,14,10
33.76,-118.31,15,8
33.76,-118.31,16,8
33.76,-118.31,17,10
33.76,-118.31,18,13
33.76,-118.31,19,10
33.76,-118.31,20,17
33.76,-118.31,21,10
33.76,-118.31,22,6
33.76,-118.31,23,4
33.76,-118.3,0,18
33.76,-118.3,1,11
33.76,-118.3,2,6
33.76,-118.3,3,15
33.76,-118.3,4,14
33.76,-118.3,5,9
33.76,-118.3,6,10
33.76,-118.3,7,12
33.76,-118.3,8,18
33.76,-118.3,9,27
33.76,-118.3,10,35
33.76,-118.3,11,24
33.76,-118.3,12,44
33.76,-118.3,13,42
33.76,-118.3,14,37
33.76,-118.3,15,46
33.76,-118.3,16,42
33.76,-118.3,17,43
33.76,-118.3,18,36
33.76,-118.3,19,25
33.76,-118.3,20,35
33.76,-118.3,21,17
33.76,-118.3,22,10
33.76,-118.3,23,11
33.76,-118.29,0,5
33.76,-118.29,1,2
33.76,-118.29,2,3
33.76,-118.29,3,4
33.76,-118.29,4,4
33.76,-118.29,5,4
33.76,-118.29,6,3
33.76,-118.29,8,6
33.76,-118.29,9,4
33.76,-118.29,11,5
33.76,-118.29,12,9
33.76,-118.29,13,6
33.76,-118.29,14,4
33.76,-118.29,15,2
33.76,-118.29,16,4
33.76,-118.29,17,5
33.76,-118.29,18,1
33.76,-118.29,19,3
33.76,-118.29,20,6
33.76,-118.29,21,3
33.76,-118.29,23,5
33.76,-118.27,0,3
33.76,-118.27,1,1
33.76,-118.27,2,1
33.76,-118.27,3,1
33.76,-118.27,4,3
33.76,-118.27,5,1
33.76,-118.27,6,4
33.76,-118.27,7,1
33.76,-118.27,8,3
33.76,-118.27,9,5
33.76,-118.27,10,2
33.76,-118.27,11,4
33.76,-118.27,12,6
33.76,-118.27,13,1
33.76,-118.27,14,4
33.76,-118.27,15,5
33.76,-118.27,16,5
33.76,-118.27,17,5
33.76,-118.27,18,3
33.76,-118.27,19,3
33.76,-118.27,20,5
33.76,-118.27,21,3
33.76,-118.27,22,2
33.76,-118.27,23,5
33.76,-118.26,3,2
33.76,-118.26,5,1
33.76,-118.26,7,2
33.76,-118.26,8,4
33.76,-118.26,10,2
33.76,-118.26,11,1
33.76,-118.26,13,1
33.76,-118.26,14,1
33.76,-118.26,15,1
33.76,-118.26,16,4
33.76,-118.26,17,5
33.76,-118.26,18,1
33.76,-118.26,19,1
33.76,-118.26,21,1
33.76,-118.25,0,9
33.76,-118.25,1,1
33.76,-118.25,2,3
33.76,-118.25,3,7
33.76,-118.25,4,1
33.76,-118.25,5,3
33.76,-118.25,8,4
33.76,-118.25,9,3
33.76,-118.25,10,3
33.76,-118.25,11,3
33.76,-118.25,12,5
33.76,-118.25,13,6
33.76,-118.25,14,6
33.76,-118.25,15,2
33.76,-118.25,16,7
33.76,-118.25,17,3
33.76,-118.25,18,9
33.76,-118.25,19,11
33.76,-118.25,20,11
33.76,-118.25,21,4
33.76,-118.25,22,4
33.76,-118.25,23,6
33.77,-118.31,1,4
33.77,-118.31,2,1
33.77,-118.31,5,1
33.77,-118.31,6,1
33.77,-118.31,8,3
33.77,-118.31,9,2
33.77,-118.31,10,2
33.77,-118.31,11,1
33.77,-118.31,12,4
33.77,-118.31,14,3
33.77,-118.31,15,1
33.77,-118.31,16,2
33.77,-118.31,17,4
33.77,-118.31,18,1
33.77,-118.31,19,1
33.77,-118.31,21,1
33.77,-118.31,22,3
33.77,-118.31,23,3
33.77,-118.3,4,1
33.77,-118.3,7,1
33.77,-118.3,11,2
33.77,-118.3,15,2
33.77,-118.3,16,3
33.77,-118.3,17,1
33.77,-118.3,18,1
33.77,-118.3,19,1
33.77,-118.29,0,4
33.77,-118.29,1,3
33.77,-118.29,2,1
33.77,-118.29,3,4
33.77,-118.29,5,3
33.77,-118.29,6,1
33.77,-118.29,7,5
33.77,-118.29,8,2
33.77,-118.29,9,1
33.77,-118.29,10,5
33.77,-118.29,11,3
33.77,-118.29,12,2
33.77,-118.29,13,2
33.77,-118.29,14,1
33.77,-118.29,15,2
33.77,-118.29,16,4
33.77,-118.29,17,5
33.77,-118.29,18,2
33.77,-118.29,19,4
33.77,-118.29,20,5
33.77,-118.29,21,6
33.77,-118.29,22,2
33.77,-118.29,23,4
33.77,-118.28,0,89
33.77,-118.28,1,51
33.77,-118.28,2,36
33.77,-118.28,3,36
33.77,-118.28,4,29
33.77,-118.28,5,27
33.77,-118.28,6,46
33.77,-118.28,7,46
33.77,-118.28,8,61
33.77,-118.28,9,51
33.77,-118.28,10,54
33.77,-118.28,11,49
33.77,-118.28,12,98
33.77,-118.28,13,53
33.77,-118.28,14,62
33.77,-118.28,15,68
33.77,-118.28,16,96
33.77,-118.28,17,82
33.77,-118.28,18,106
33.77,-118.28,19,107
33.77,-118.28,20,84
33.77,-118.28,21,93
33.77,-118.28,22,93
33.77,-118.28,23,76
33.77,-118.27,0,87
33.77,-118.27,1,45
33.77,-118.27,2,58
33.77,-118.27,3,41
33.77,-118.27,4,35
33.77,-118.27,5,27
33.77,-118.27,6,43
33.77,-118.27,7,55
33.77,-118.27,8,70
33.77,-118.27,9,47
33.77,-118.27,10,83
33.77,-118.27,11,87
33.77,-118.27,12,122
33.77,-118.27,13,101
33.77,-118.27,14,91
33.77,-118.27,15,99
33.77,-118.27,16,84
33.77,-118.27,17,107
33.77,-118.27,18,112
33.77,-118.27,19,87
33.77,-118.27,20,96
33.77,-118.27,21,90
33.77,-118.27,22,102
33.77,-118.27,23,96
33.77,-118.26,0,4
33.77,-118.26,1,13
33.77,-118.26,2,9
33.77,-118.26,3,11
33.77,-118.26,4,8
33.77,-118.26,5,5
33.77,-118.26,6,6
33.77,-118.26,7,6
33.77,-118.26,8,14
33.77,-118.26,9,11
33.77,-118.26,10,11
33.77,-118.26,11,10
33.77,-118.26,12,15
33.77,-118.26,13,9
33.77,-118.26,14,8
33.77,-118.26,15,15
33.77,-118.26,16,19
33.77,-118.26,17,27
33.77,-118.26,18,16
33.77,-118.26,19,16
33.77,-118.26,20,5
33.77,-118.26,21,10
33.77,-118.26,22,12
33.77,-118.26,23,12
33.77,-118.25,0,17
33.77,-118.25,1,5
33.77,-118.25,2,9
33.77,-118.25,3,3
33.77,-118.25,4,5
33.77,-118.25,5,3
33.77,-118.25,6,10
